Feature,SHAP_Importance,SHAP_Direction,LIME_Importance,Crop,LIME_to_SHAP_Ratio
B,0.0,0.0,0.09628027884786407,grapes,
Cu,0.0,0.0,0.0019975363056644823,grapes,
EC,0.01192622406504423,-1.0,0.014549198501592182,grapes,1.2199333521022713
Fe,0.0,0.0,0.0332074293897022,grapes,
K,0.019083592029244697,-0.9615384615384616,0.029314631988796393,grapes,1.5361170970262368
Mn,0.0,0.0,0.024899216789672208,grapes,
N,0.0753905656807254,1.0,0.015871926269638525,grapes,0.2105293431124419
P,0.01242977083542074,-1.0,0.029017284901949807,grapes,2.334498784101484
S,0.01680007270563975,-0.9615384615384616,0.044500749272644885,grapes,2.648842659931232
Zn,0.0,0.0,0.004777896828502321,grapes,
pH,0.016387798069976093,-1.0,0.0009987175778876371,grapes,0.06094275592261396
B,0.0,0.0,0.11554296391202112,mango,
Cu,0.0,0.0,0.0025939971521806303,mango,
EC,0.01190000028976347,-1.0,0.012086496368350574,mango,1.015671938995458
Fe,0.0,0.0,0.03371340631368735,mango,
K,0.019013532692099332,-0.9615384615384616,0.03157684083565939,mango,1.6607561228629792
Mn,0.0,0.0,0.022600921331745277,mango,
N,0.012414616501686015,-0.9615384615384616,0.016823287906038174,mango,1.355119419416091
P,0.07582341140187825,1.0,0.03132292592577389,mango,0.4131036225705611
S,0.016908630007301098,-1.0,0.047497669996862814,mango,2.809078557893422
Zn,0.0,0.0,0.0056959210140827285,mango,
pH,0.01654927326185934,-1.0,0.0015939276135190435,mango,0.0963140549012823
B,0.0,0.0,0.07770314488297435,mulberry,
Cu,0.0,0.0,0.0017900433480954525,mulberry,
EC,0.011879370920514469,-0.9615384615384616,0.010912073315899638,mulberry,0.9185733309375493
Fe,0.0,0.0,0.024784057231518504,mulberry,
K,0.0688722045545802,1.0,0.028252931486191422,mulberry,0.4102225515926588
Mn,0.0,0.0,0.019980670927241848,mulberry,
N,0.011550725650112285,-0.9807692307692307,0.014162488050330558,mulberry,1.2261124088072237
P,0.012084852801607518,-1.0,0.029640086719343935,mulberry,2.4526642736931996
S,0.01680652166353827,-0.9615384615384616,0.0440689238935469,mulberry,2.6221323350419605
Zn,0.0,0.0,0.007021960058293863,mulberry,
pH,0.0173159487323891,-1.0,0.000606494232206391,mulberry,0.03502518063431067
B,0.0,0.0,0.09428178721899853,pomegranate,
Cu,0.0,0.0,0.0021240383660488292,pomegranate,
EC,0.0119407928304954,-1.0,0.012425961943034247,pomegranate,1.0406312310602845
Fe,0.0,0.0,0.03266673190349724,pomegranate,
K,0.019090279965797152,-1.0,0.030576947582696676,pomegranate,1.6017024180619384
Mn,0.0,0.0,0.025717914751773596,pomegranate,
N,0.012189806842359409,-0.9615384615384616,0.015576680862135227,pomegranate,1.2778447651858171
P,0.012313378112056675,-0.9615384615384616,0.027053806294796177,pomegranate,2.1971067605165455
S,0.015974237004411657,-1.0,0.04128520860108821,pomegranate,2.584487045590117
Zn,0.0,0.0,0.004399902695028804,pomegranate,
pH,0.07029227389371763,1.0,0.0011989249278763423,pomegranate,0.01705628316547455
B,0.0,0.0,0.08646606783980265,potato,
Cu,0.0,0.0,0.001955871261982876,potato,
EC,0.07783636552883309,1.0,0.0059108597700131115,potato,0.07593956539277953
Fe,0.0,0.0,0.03724016660071905,potato,
K,0.01903486042598401,-1.0,0.031886862559098735,potato,1.6751823677977056
Mn,0.0,0.0,0.023697754866641153,potato,
N,0.01234978470736874,-1.0,0.014076721222193363,potato,1.139835353874162
P,0.012694086643371376,-1.0,0.027396673395759432,potato,2.158223286593485
S,0.016389156007260465,-1.0,0.042825398445340376,potato,2.613032570217072
Zn,0.0,0.0,0.00515081947702314,potato,
pH,0.017368477888184648,-1.0,0.00021479447491492217,potato,0.01236691414744188
B,0.0,0.0,0.08338825509275602,ragi,
Cu,0.0,0.0,0.0015424517000906873,ragi,
EC,0.01210227301771498,-0.9615384615384616,0.00773094109863757,ragi,0.6388007515052112
Fe,0.0,0.0,0.029154496645540363,ragi,
K,0.018331830111622,-1.0,0.031859139001547694,ragi,1.7379137166097596
Mn,0.0,0.0,0.02692020101427199,ragi,
N,0.011615972287908945,-1.0,0.014906458134929945,ragi,1.2832725290198965
P,0.012767382096826584,-1.0,0.023776743173448096,ragi,1.8623037199895474
S,0.07083559905991069,1.0,0.04128415725962089,ragi,0.5828165189187424
Zn,0.0,0.0,0.0053277088741256065,ragi,
pH,0.01743527125924837,-0.9615384615384616,0.0010724214866097228,ragi,0.0615087354055858
