Feature,SHAP_Importance,LIME_Importance,LIME_to_SHAP_Ratio
B,0.0,0.09210844975369949,
Cu,0.0,0.0025420931936242937,
EC,0.025997364058957553,0.009885329340951762,0.38024352463324873
Fe,0.0,0.032010076136365036,
K,0.029904068497177704,0.030535757129143092,1.0211238357758914
Mn,0.0,0.02295593048461656,
N,0.030964694646403636,0.014827326948530723,0.4788462188259566
P,0.029530656873564702,0.028150593957107305,0.9532667721423832
S,0.028677661247515678,0.04341947187213244,1.5140520524801802
Zn,0.0,0.00535411398903514,
pH,0.04036421108977548,0.0008887291014553787,0.02201774981997603
