Feature,SHAP_Importance,LIME_Importance,LIME_to_SHAP_Ratio
B,0.0,0.09408970151881765,
Cu,0.0,0.002306579214032051,
EC,0.025997364058957553,0.010805297957075936,0.41563052056244537
Fe,0.0,0.03186112668700519,
K,0.029904068497177704,0.030123550931619184,1.0073395509531484
Mn,0.0,0.02310777147170352,
N,0.030964694646403636,0.014911026352941479,0.4815492780799408
P,0.029530656873564702,0.028496280517476845,0.9649727955420521
S,0.028677661247515678,0.0432535771213255,1.5082672449474073
Zn,0.0,0.005219774556991317,
pH,0.04036421108977548,0.0010194532156331006,0.025256364192668062
