Feature,SHAP_Importance,SHAP_Direction,LIME_Importance,Crop,LIME_to_SHAP_Ratio
B,0.0,0.0,0.09639253417082012,grapes,
Cu,0.0,0.0,0.002099299152473538,grapes,
EC,0.01192622406504423,-1.0,0.014851600043127544,grapes,1.2452893692193485
Fe,0.0,0.0,0.03363862543375333,grapes,
K,0.019083592029244697,-0.9615384615384616,0.02920733780461824,grapes,1.530494770578798
Mn,0.0,0.0,0.02483193919872088,grapes,
N,0.0753905656807254,1.0,0.015756975046593593,grapes,0.20900460030136203
P,0.01242977083542074,-1.0,0.0289816783663005,grapes,2.3316341668755705
S,0.01680007270563975,-0.9615384615384616,0.04434058445505288,grapes,2.6393090810950977
Zn,0.0,0.0,0.0047955556355783625,grapes,
pH,0.016387798069976093,-1.0,0.0008529786572143869,grapes,0.05204961969705496
B,0.0,0.0,0.11677283828668772,mango,
Cu,0.0,0.0,0.002801946018095348,mango,
EC,0.01190000028976347,-1.0,0.012215532614665122,mango,1.0265153207746622
Fe,0.0,0.0,0.034255294596623256,mango,
K,0.019013532692099332,-0.9615384615384616,0.03154995943728592,mango,1.6593423193994785
Mn,0.0,0.0,0.022684458553318996,mango,
N,0.012414616501686015,-0.9615384615384616,0.017070401283917454,mango,1.3750244545692685
P,0.07582341140187825,1.0,0.03118075730598607,mango,0.4112286262183883
S,0.016908630007301098,-1.0,0.04726369490106173,mango,2.79524094386437
Zn,0.0,0.0,0.005386749638552524,mango,
pH,0.01654927326185934,-1.0,0.0013288199872993876,mango,0.0802947637804666
B,0.0,0.0,0.08030501098020416,mulberry,
Cu,0.0,0.0,0.0019181248216415016,mulberry,
EC,0.011879370920514469,-0.9615384615384616,0.011405725812026082,mulberry,0.9601287718299586
Fe,0.0,0.0,0.025479770275612313,mulberry,
K,0.0688722045545802,1.0,0.029021859679171664,mulberry,0.42138711642622495
Mn,0.0,0.0,0.020510640110988094,mulberry,
N,0.011550725650112285,-0.9807692307692307,0.014471745683244084,mulberry,1.2528862793224946
P,0.012084852801607518,-1.0,0.03046405970186994,mulberry,2.5208465673506284
S,0.01680652166353827,-0.9615384615384616,0.045694691019480226,mulberry,2.7188666360758518
Zn,0.0,0.0,0.007166978746811505,mulberry,
pH,0.0173159487323891,-1.0,0.00041828806563526567,mulberry,0.024156231466131977
B,0.0,0.0,0.09591548756502004,pomegranate,
Cu,0.0,0.0,0.0020859566188944126,pomegranate,
EC,0.0119407928304954,-1.0,0.01218557627911586,pomegranate,1.0204997651408299
Fe,0.0,0.0,0.0331919663893333,pomegranate,
K,0.019090279965797152,-1.0,0.030394482425574933,pomegranate,1.5921444043791293
Mn,0.0,0.0,0.025498859231988476,pomegranate,
N,0.012189806842359409,-0.9615384615384616,0.015500909652821216,pomegranate,1.2716288168698269
P,0.012313378112056675,-0.9615384615384616,0.027419448437598408,pomegranate,2.2268014665082516
S,0.015974237004411657,-1.0,0.04105847460651254,pomegranate,2.570293316367679
Zn,0.0,0.0,0.004323888855607912,pomegranate,
pH,0.07029227389371763,1.0,0.0011815227764002826,pomegranate,0.01680871468444388
B,0.0,0.0,0.08610508375541256,potato,
Cu,0.0,0.0,0.001848923722609101,potato,
EC,0.07783636552883309,1.0,0.005985974759177968,potato,0.07690460260455725
Fe,0.0,0.0,0.0373173829940417,potato,
K,0.01903486042598401,-1.0,0.03183892141625783,potato,1.6726637707726673
Mn,0.0,0.0,0.02386930485252013,potato,
N,0.01234978470736874,-1.0,0.01368604375732711,potato,1.1082009995818844
P,0.012694086643371376,-1.0,0.027290207498378537,potato,2.149836239902222
S,0.016389156007260465,-1.0,0.04259650208893855,potato,2.5990662405109894
Zn,0.0,0.0,0.005018643439722157,potato,
pH,0.017368477888184648,-1.0,0.00017710909377673383,potato,0.010197156879084773
B,0.0,0.0,0.08284861470999502,ragi,
Cu,0.0,0.0,0.0013725313392081054,ragi,
EC,0.01210227301771498,-0.9615384615384616,0.007340904901946309,ragi,0.6065724092656719
Fe,0.0,0.0,0.027661140887637558,ragi,
K,0.018331830111622,-1.0,0.03196835640003162,ragi,1.7438715177577577
Mn,0.0,0.0,0.026838920669715747,ragi,
N,0.011615972287908945,-1.0,0.014972476928011607,ragi,1.2889559786223357
P,0.012767382096826584,-1.0,0.024099450385080035,ragi,1.8875796308367798
S,0.07083559905991069,1.0,0.041109808143714933,ragi,0.5803551983649556
Zn,0.0,0.0,0.0053963015423073675,ragi,
pH,0.01743527125924837,-0.9615384615384616,0.0011610366481339131,ragi,0.06659125808083155
